date_utc,aave_v3_constant_price_total_usd,aave_v3_actual_total_supply_usd,aave_v3_net_supply_change_usd,aave_v3_weeth_constant_price_supply_usd,aave_v3_weeth_net_supply_change_usd
2026-07-01,3520011757.91,3283994946.61,312234.82,233913096.03,-3981974.16
2026-07-02,3517816653.66,3294823818.33,-2195104.25,220368487.22,-13544608.81
2026-07-03,3540565184.16,3399943123.19,22748530.50,218880263.64,-1488223.58
2026-07-04,3538537758.91,3452744067.25,-2027425.25,216852564.15,-2027699.49
2026-07-05,3535507787.45,3464939615.47,-3029971.46,217103422.28,250858.13
2026-07-06,3555575184.88,3501004437.08,20067397.44,217104415.64,993.36
2026-07-07,3557613964.50,3528968288.50,2038779.62,217001112.14,-103303.50
2026-07-08,3535935315.11,3473593484.85,-21678649.40,217086683.45,85571.31
2026-07-09,3561585866.37,3456424680.60,25650551.27,216904716.09,-181967.36
2026-07-10,3537209132.60,3448946142.48,-24376733.77,216914216.40,9500.30
2026-07-11,3566255893.50,3532228425.20,29046760.90,216403817.71,-510398.69
2026-07-12,3571553341.36,3529782329.48,5297447.86,224556878.95,8153061.24
2026-07-13,3578027166.23,3551736306.38,6473824.87,225183160.17,626281.22
2026-07-14,3580755169.08,3494835257.81,2728002.85,224734583.86,-448576.31
2026-07-15,3580816697.78,3614767313.23,61528.70,225613211.82,878627.95
2026-07-16,3559010496.88,3600030215.50,-21806200.90,212814728.25,-12798483.57
2026-07-17,3592143671.64,3584377444.94,33133174.76,212845541.36,30813.12
2026-07-18,3606192195.08,3593208908.10,14048523.44,218982186.54,6136645.18
2026-07-19,3667655825.95,3680382343.60,61463630.87,223079305.11,4097118.56
2026-07-20,3617787949.51,3636046765.04,-49867876.44,223079305.11,0.00
2026-07-21,3602991946.32,3658244744.36,-14796003.19,209468238.11,-13611067.00
2026-07-22,3554034764.08,3646786406.13,-48957182.24,208083434.87,-1384803.24
2026-07-23,3540481931.46,3619578442.43,-13552832.62,207314301.49,-769133.38
2026-07-24,3562567138.30,3593873007.53,22085206.84,210980430.63,3666129.14
2026-07-25,3576733832.70,3578869722.56,14166694.41,211818779.70,838349.07
2026-07-26,3568466563.69,3581086511.77,-8267269.01,212019226.76,200447.06
2026-07-27,3574428083.99,3645392799.63,5961520.30,211491672.49,-527554.28
2026-07-28,3575063585.40,3581889369.63,635501.42,211419544.42,-72128.07
2026-07-29,3615171199.36,3640438128.25,40107613.96,210915898.23,-503646.19
2026-07-30,3637124701.39,3656320089.34,21953502.03,211297333.04,381434.81
2026-07-31,3654542182.99,3698176958.21,17417481.60,210864718.90,-432614.14
