date_utc,aave_v3_constant_price_total_usd,aave_v3_actual_total_supply_usd,aave_v3_net_supply_change_usd,aave_v3_weeth_constant_price_supply_usd,aave_v3_weeth_net_supply_change_usd
2026-06-01,871518131.01,1068438903.62,-320106.18,32462268.35,0.00
2026-06-02,872954891.84,1050325128.48,1436760.83,32462268.35,0.00
2026-06-03,877764906.73,994317258.01,4810014.89,32462268.35,0.00
2026-06-04,883047477.00,973453487.15,5282570.27,32462268.35,0.00
2026-06-05,885550906.60,962192914.67,2503429.60,32462268.35,0.00
2026-06-06,880144008.42,904565448.57,-5406898.18,12159892.08,-20302376.27
2026-06-07,880439744.84,895770646.44,295736.42,11856502.53,-303389.55
2026-06-08,878502581.94,938041384.05,-1937162.89,11856502.53,0.00
2026-06-09,878741148.62,926520867.51,238566.67,11856502.53,0.00
2026-06-10,880796350.30,917343330.77,2055201.68,11856502.53,0.00
2026-06-11,892959437.73,925828354.72,12163087.44,11856502.53,0.00
2026-06-12,897038416.64,955612128.98,4078978.91,11877502.96,21000.44
2026-06-13,895272041.42,952018946.23,-1766375.22,11877502.96,0.00
2026-06-14,895708894.16,962864074.24,436852.75,11877502.96,0.00
2026-06-15,893493005.54,978992200.18,-2215888.62,11877502.96,0.00
2026-06-16,894653766.35,999032428.09,1160760.81,11877502.96,0.00
2026-06-17,896314488.39,995133126.41,1660722.04,11877502.96,0.00
2026-06-18,898642680.95,980675714.24,2328192.56,11877502.96,0.00
2026-06-19,897615030.74,960439422.16,-1027650.21,11877502.96,0.00
2026-06-20,897766971.89,964429225.88,151941.15,11877508.19,5.23
2026-06-21,909068944.09,989534126.12,11301972.21,11877508.19,0.00
2026-06-22,909602014.56,977512594.82,533070.47,11877508.19,0.00
2026-06-23,908880097.43,984084344.51,-721917.13,11877508.19,0.00
2026-06-24,911096839.36,962295807.66,2216741.93,11885964.28,8456.09
2026-06-25,922755754.54,952273693.25,11658915.18,11885964.28,0.00
2026-06-26,927024099.71,935334568.73,4268345.17,11885947.09,-17.19
2026-06-27,927714676.35,940763418.07,690576.63,11885947.09,0.00
2026-06-28,927752405.47,941250466.67,37729.13,11885947.09,0.00
2026-06-29,928181992.11,935777578.57,429586.64,11885947.09,0.00
2026-06-30,930553495.01,945795526.42,2371502.90,11885947.09,0.00
