date_utc,aave_v3_constant_price_total_usd,aave_v3_actual_total_supply_usd,aave_v3_net_supply_change_usd,aave_v3_weeth_constant_price_supply_usd,aave_v3_weeth_net_supply_change_usd
2026-06-01,8997579343.91,10744005036.32,167319563.47,1673757177.25,267876.16
2026-06-02,9013506650.06,10625539015.90,15927306.16,1681671339.64,7914162.39
2026-06-03,8943376831.54,9943030918.42,-70129818.53,1675096946.91,-6574392.73
2026-06-04,8925189620.37,9692412478.15,-18187211.16,1670855120.63,-4241826.28
2026-06-05,9125511489.30,9741569241.40,200321868.93,1696028100.82,25172980.19
2026-06-06,9286486177.45,9252321782.79,160974688.15,1724027214.44,27999113.61
2026-06-07,9274329811.18,9150712335.37,-12156366.27,1722059676.60,-1967537.83
2026-06-08,9274859825.68,9656466420.80,530014.50,1724615644.14,2555967.54
2026-06-09,9278845764.76,9631761245.72,3985939.09,1695221569.83,-29394074.31
2026-06-10,9215914021.55,9350550297.56,-62931743.21,1681847862.46,-13373707.37
2026-06-11,9130279239.52,9226738300.24,-85634782.04,1678140787.57,-3707074.89
2026-06-12,9040811581.53,9394472372.23,-89467657.98,1682663314.79,4522527.22
2026-06-13,9203283768.45,9534071104.82,162472186.91,1693258493.31,10595178.51
2026-06-14,9207359467.47,9637472795.32,4075699.02,1689210982.30,-4047511.01
2026-06-15,9262238492.80,9886515755.83,54879025.33,1808950441.67,119739459.37
2026-06-16,9249496962.71,10119562955.12,-12741530.09,1806626923.26,-2323518.41
2026-06-17,9518507793.38,10344960121.43,269010830.67,1797092961.02,-9533962.24
2026-06-18,9499012523.14,10150653680.35,-19495270.24,1793350842.60,-3742118.41
2026-06-19,9535599833.20,9992049025.30,36587310.06,1782161679.44,-11189163.17
2026-06-20,9547118382.62,10041023100.75,11518549.42,1772869968.70,-9291710.74
2026-06-21,9563612696.50,10184918003.73,16494313.89,1772468633.08,-401335.62
2026-06-22,9554643898.19,10037800452.74,-8968798.32,1768560763.73,-3907869.35
2026-06-23,9532329309.25,10101415305.80,-22314588.94,1756291971.34,-12268792.39
2026-06-24,9529329619.88,9862252010.79,-2999689.36,1733156336.20,-23135635.14
2026-06-25,9512454878.67,9603378885.11,-16874741.21,1722245687.55,-10910648.65
2026-06-26,9557498237.17,9424189914.25,45043358.50,1703697387.27,-18548300.28
2026-06-27,9663139194.53,9590913289.36,105640957.36,1699619279.05,-4078108.22
2026-06-28,9687192575.17,9613915171.30,24053380.65,1698230173.56,-1389105.49
2026-06-29,9695989034.70,9568064734.67,8796459.53,1697973871.33,-256302.23
2026-06-30,9675722890.68,9648965288.40,-20266144.02,1707236170.99,9262299.66
