date_utc,aave_v3_constant_price_total_usd,aave_v3_actual_total_supply_usd,aave_v3_net_supply_change_usd,aave_v3_weeth_constant_price_supply_usd,aave_v3_weeth_net_supply_change_usd
2026-07-01,428985981.03,385034766.39,1911178.97,20041475.59,361077.77
2026-07-02,435136661.35,397759155.57,6150680.32,21896530.38,1855054.79
2026-07-03,443921452.99,418417372.09,8784791.64,21210451.73,-686078.65
2026-07-04,419329363.82,401295902.55,-24592089.17,20140398.94,-1070052.79
2026-07-05,424317054.25,407515144.98,4987690.43,19377675.99,-762722.94
2026-07-06,425476409.89,409883439.57,1159355.65,19307243.84,-70432.15
2026-07-07,435239315.52,421963793.44,9762905.63,18749509.80,-557734.04
2026-07-08,430021758.37,413268554.04,-5217557.15,17629288.25,-1120221.55
2026-07-09,433360140.71,417835493.12,3338382.34,17062107.43,-567180.82
2026-07-10,430686810.51,415589916.79,-2673330.20,17002931.32,-59176.11
2026-07-11,431367311.51,422478454.99,680501.00,17012215.36,9284.04
2026-07-12,431581914.70,422101299.94,214603.19,16845713.41,-166501.95
2026-07-13,434571554.58,426644554.83,2989639.88,16490317.77,-355395.63
2026-07-14,431895939.97,419443447.16,-2675614.61,17278063.13,787745.35
2026-07-15,444296622.75,446347067.10,12400682.78,17278063.13,0.00
2026-07-16,455344920.07,460300985.21,11048297.32,16608742.23,-669320.90
2026-07-17,455931763.88,454297343.90,586843.81,16608387.74,-354.49
2026-07-18,438801526.62,435316825.96,-17130237.26,16062675.12,-545712.61
2026-07-19,445761051.18,444659528.79,6959524.56,15769282.27,-293392.85
2026-07-20,446004477.97,446376701.67,243426.79,15768449.80,-832.47
2026-07-21,450353189.34,455108677.94,4348711.38,15728716.82,-39732.99
2026-07-22,449611265.47,457904791.42,-741923.87,14272684.26,-1456032.55
2026-07-23,447877141.05,455366780.54,-1734124.43,14128877.72,-143806.54
2026-07-24,448463321.56,450115207.28,586180.51,14017352.32,-111525.40
2026-07-25,448041467.11,447222870.17,-421854.45,14006498.63,-10853.69
2026-07-26,452295163.18,452767621.09,4253696.07,13994517.88,-11980.75
2026-07-27,450946837.98,459865637.29,-1348325.20,14316597.29,322079.42
2026-07-28,446202879.08,447861842.00,-4743958.90,14509816.90,193219.60
2026-07-29,447318684.37,452159965.70,1115805.29,14214276.28,-295540.61
2026-07-30,451247549.18,455069191.02,3928864.81,14494734.11,280457.82
2026-07-31,452810547.93,457985993.56,1562998.75,14045167.60,-449566.51
