date_utc,aave_v3_constant_price_total_usd,aave_v3_actual_total_supply_usd,aave_v3_net_supply_change_usd,aave_v3_weeth_constant_price_supply_usd,aave_v3_weeth_net_supply_change_usd
2026-07-01,3858882791.85,3340852790.02,-23829859.96,76718772.63,-1033997.22
2026-07-02,3887448257.72,3455102154.97,28565465.87,76718772.63,0.00
2026-07-03,3860463820.98,3561737717.20,-26984436.74,71765957.26,-4952815.37
2026-07-04,3851459247.69,3652026998.37,-9004573.28,71747120.21,-18837.05
2026-07-05,3848504630.70,3675151379.11,-2954616.99,72378273.92,631153.70
2026-07-06,3850417732.10,3696329854.66,1913101.39,72378273.92,0.00
2026-07-07,3803049286.87,3688615465.82,-47368445.22,72378273.92,0.00
2026-07-08,3767128461.96,3594075896.61,-35920824.91,72419634.86,41360.94
2026-07-09,3773459097.68,3547761677.80,6330635.72,72420086.59,451.73
2026-07-10,3768066531.45,3544674105.11,-5392566.23,69484048.68,-2936037.91
2026-07-11,3745568093.52,3615506285.16,-22498437.93,70262068.40,778019.71
2026-07-12,3430274126.21,3337573709.35,-315293967.31,62112111.30,-8149957.10
2026-07-13,3427010648.95,3349437209.27,-3263477.26,62106403.78,-5707.52
2026-07-14,3542952872.65,3380073445.52,115942223.70,61034986.83,-1071416.94
2026-07-15,3516436216.71,3536067202.66,-26516655.95,61034986.83,0.00
2026-07-16,3450778807.26,3505367653.55,-65657409.44,73915987.21,12881000.38
2026-07-17,3529598582.15,3503743942.56,78819774.89,73915987.21,0.00
2026-07-18,3639079981.68,3586136784.53,109481399.53,73957347.10,41359.89
2026-07-19,3652789958.15,3630276921.02,13709976.47,73957347.10,0.00
2026-07-20,3609461086.46,3607766862.94,-43328871.69,73957347.10,0.00
2026-07-21,3544298566.45,3601126196.12,-65162520.01,73957347.10,0.00
2026-07-22,3623975263.70,3728404281.59,79676697.25,73957347.10,0.00
2026-07-23,3588201581.78,3681188983.95,-35773681.91,74069998.63,112651.54
2026-07-24,3627874431.96,3628749199.48,39672850.18,74072066.63,2067.99
2026-07-25,3710512648.72,3687061295.86,82638216.75,74072066.63,0.00
2026-07-26,3715057918.25,3709769965.25,4545269.54,74072066.63,0.00
2026-07-27,3737989964.68,3844616732.01,22932046.43,74072066.63,0.00
2026-07-28,3564526729.02,3572950770.43,-173463235.67,73902202.33,-169864.30
2026-07-29,3669086320.61,3722331904.84,104559591.59,73901995.53,-206.80
2026-07-30,3623863070.97,3661088721.57,-45223249.64,73901995.53,0.00
2026-07-31,3680177308.06,3755688779.40,56314237.10,73901995.53,0.00
