date_utc,aave_v3_constant_price_total_usd,aave_v3_actual_total_supply_usd,aave_v3_net_supply_change_usd,aave_v3_weeth_constant_price_supply_usd,aave_v3_weeth_net_supply_change_usd
2026-06-01,131855865.74,149973962.64,-6537252.01,580779.12,0.00
2026-06-02,124310248.10,142377231.11,-7545617.63,580779.12,0.00
2026-06-03,121708386.84,124320616.45,-2601861.26,580779.12,0.00
2026-06-04,127638125.89,129763142.42,5929739.05,580779.12,0.00
2026-06-05,124223877.63,125993302.64,-3414248.26,580779.12,0.00
2026-06-06,125198029.76,125329386.60,974152.13,664855.30,84076.18
2026-06-07,126727036.32,126716535.05,1529006.56,664855.30,0.00
2026-06-08,127065766.83,143156901.29,338730.50,666405.88,1550.58
2026-06-09,127224329.46,143206758.95,158562.64,666405.88,0.00
2026-06-10,126867182.32,127724696.41,-357147.14,571623.01,-94782.87
2026-06-11,128990085.84,129810927.55,2122903.52,571623.01,0.00
2026-06-12,126388146.48,142488550.26,-2601939.36,571623.01,0.00
2026-06-13,126122955.10,126451567.97,-265191.38,571623.01,0.00
2026-06-14,125927348.51,142033827.26,-195606.59,571623.01,0.00
2026-06-15,125880562.48,142220643.99,-46786.03,571623.01,0.00
2026-06-16,125050729.37,126550210.09,-829833.11,571623.01,0.00
2026-06-17,122822777.14,124194177.94,-2227952.23,571623.01,0.00
2026-06-18,120183485.39,121477774.49,-2639291.75,571623.01,0.00
2026-06-19,122268989.12,123375256.13,2085503.73,571623.01,0.00
2026-06-20,121044190.38,137337266.59,-1224798.74,571623.01,0.00
2026-06-21,122159236.22,123330130.55,1115045.84,571623.01,0.00
2026-06-22,122005008.42,122741658.70,-154227.80,571623.01,0.00
2026-06-23,118389412.71,134811276.45,-3615595.71,571623.01,0.00
2026-06-24,115649550.03,116553205.94,-2739862.67,571623.01,0.00
2026-06-25,114108884.64,114912779.58,-1540665.39,571623.01,0.00
2026-06-26,113739821.04,129541414.63,-369063.60,571623.01,0.00
2026-06-27,113812088.54,129663672.57,72267.50,571623.01,0.00
2026-06-28,113794761.67,129542939.01,-17326.87,571623.01,0.00
2026-06-29,116730801.82,132449601.66,2936040.15,571623.01,0.00
2026-06-30,117454463.37,133278629.46,723661.55,571623.01,0.00
